model,label_id,precision,recall,f1,support
DummyMajority,0,0.8030032194173019,1.0,0.8907396401397643,340964.0
DummyMajority,1,0.0,0.0,0.0,295.0
DummyMajority,2,0.0,0.0,0.0,19204.0
DummyMajority,3,0.0,0.0,0.0,1544.0
DummyMajority,4,0.0,0.0,0.0,34661.0
DummyMajority,5,0.0,0.0,0.0,825.0
DummyMajority,6,0.0,0.0,0.0,870.0
DummyMajority,7,0.0,0.0,0.0,1190.0
DummyMajority,8,0.0,0.0,0.0,2.0
DummyMajority,9,0.0,0.0,0.0,6.0
DummyMajority,10,0.0,0.0,0.0,23839.0
DummyMajority,11,0.0,0.0,0.0,884.0
DummyMajority,12,0.0,0.0,0.0,226.0
DummyMajority,13,0.0,0.0,0.0,3.0
DummyMajority,14,0.0,0.0,0.0,98.0
LogisticRegression,0,0.9998397692677456,0.8052463016623456,0.8920541678579783,340964.0
LogisticRegression,1,0.0106740751571867,0.9898305084745764,0.0211203934758236,295.0
LogisticRegression,2,0.8591656584666398,0.9984378254530306,0.9235808386117867,19204.0
LogisticRegression,3,0.4295493439817456,0.9753886010362696,0.5964356435643564,1544.0
LogisticRegression,4,0.83067944376396,0.9978650356308244,0.906629269443498,34661.0
LogisticRegression,5,0.336662505201831,0.9806060606060606,0.5012391573729864,825.0
LogisticRegression,6,0.2674936386768448,0.9666666666666668,0.4190333831589437,870.0
LogisticRegression,7,0.3105703819989534,0.9974789915966388,0.4736632083000798,1190.0
LogisticRegression,8,0.5,1.0,0.6666666666666666,2.0
LogisticRegression,9,0.0384615384615384,0.5,0.0714285714285714,6.0
LogisticRegression,10,0.8154774144903695,0.9981123369268844,0.89759888337703,23839.0
LogisticRegression,11,0.1513999308676114,0.990950226244344,0.2626686656671664,884.0
LogisticRegression,12,0.0503472222222222,0.5132743362831859,0.091699604743083,226.0
LogisticRegression,13,0.0005817335660267,0.3333333333333333,0.0011614401858304,3.0
LogisticRegression,14,0.0108100103657633,0.7448979591836735,0.0213107575536418,98.0
RandomForest,0,0.998915264572834,0.9993049119555144,0.9991100502740956,340964.0
RandomForest,1,0.8744588744588745,0.6847457627118644,0.7680608365019012,295.0
RandomForest,2,0.9997916232548448,0.9993751301812124,0.9995833333333334,19204.0
RandomForest,3,0.9980544747081712,0.996761658031088,0.9974076474400518,1544.0
RandomForest,4,0.9976342286719944,0.9976342286719944,0.9976342286719944,34661.0
RandomForest,5,0.9939024390243902,0.987878787878788,0.9908814589665652,825.0
RandomForest,6,0.9931113662456946,0.9942528735632185,0.9936817920735208,870.0
RandomForest,7,1.0,0.9991596638655462,0.9995796553173604,1190.0
RandomForest,8,1.0,1.0,1.0,2.0
RandomForest,9,1.0,0.5,0.6666666666666666,6.0
RandomForest,10,0.9947531900604432,0.9941272704391962,0.994440131758387,23839.0
RandomForest,11,1.0,0.994343891402715,0.9971639251276234,884.0
RandomForest,12,0.7426160337552743,0.7787610619469026,0.7602591792656588,226.0
RandomForest,13,0.0,0.0,0.0,3.0
RandomForest,14,0.4406779661016949,0.2653061224489796,0.3312101910828025,98.0
