model,label,precision,recall,f1-score,support
RandomForest,0,0.9998207464002352,0.9978736758132823,0.9988462622419504,340964.0
RandomForest,1,0.370712401055409,0.952542372881356,0.533713200379867,295.0
RandomForest,2,1.0,0.999687565090606,0.999843758137597,19204.0
RandomForest,3,0.99870214146658,0.996761658031088,0.9977309562398704,1544.0
RandomForest,4,0.9965768201823778,0.9995095352124866,0.9980410232772527,34661.0
RandomForest,5,0.995127892813642,0.9903030303030304,0.9927095990279464,825.0
RandomForest,6,0.9919816723940436,0.9954022988505749,0.993689041881813,870.0
RandomForest,7,1.0,1.0,1.0,1190.0
RandomForest,8,1.0,1.0,1.0,2.0
RandomForest,9,1.0,0.6666666666666666,0.8,6.0
RandomForest,10,0.9945742904841404,0.9996224673853767,0.9970919893721626,23839.0
RandomForest,11,1.0,0.996606334841629,0.998300283286119,884.0
RandomForest,12,0.8088235294117647,0.7300884955752213,0.7674418604651163,226.0
RandomForest,13,0.5,0.3333333333333333,0.4,3.0
RandomForest,14,0.4736842105263157,0.5510204081632653,0.5094339622641509,98.0
