count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage,zero_count,zero_percentage,skewness,kurtosis
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0
2830743.0,0.0001112782050507,0.0105482634361338,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,94.78130272482832,8981.501691900536
2830743.0,0.0001112782050507,0.0105482634361338,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,94.78130272482832,8981.501691900536
2830743.0,0.0002423392021105,0.015565364095025,0.0,0.0,0.0,0.0,1.0,0,0.0,2830057,99.97576607978894,64.21411164430033,4121.455046191241
2830743.0,0.0002433989945395,0.0155993537504696,0.0,0.0,0.0,0.0,1.0,0,0.0,2830054,99.97566010054604,64.07405871962325,4103.487900036001
2830743.0,0.0353797571874239,0.1847377655624219,0.0,0.0,0.0,0.0,1.0,0,0.0,2730592,96.4620242812576,5.030055112614846,23.30147089909055
2830743.0,0.0464464629957576,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.310324030433898,16.578904960800724
2830743.0,0.0464464629957576,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.310324030433898,16.578904960800724
2830743.0,41134.11677514879,393381.5153168317,0.0,0.0,0.0,0.0,74200000.0,0,0.0,2625209,92.73922076288804,40.471707205801,4110.318078597616
2830743.0,503843.9497793038,4602984.480672,0.0,0.0,0.0,0.0,76900000.0,0,0.0,2601500,91.901666806206,10.493403947078573,114.38739747154428
2830743.0,0.0948231612689672,0.2929705781767338,0.0,0.0,0.0,0.0,1.0,0,0.0,2562323,90.51768387310328,2.765991913056269,5.650715255482343
