dtype,unique_values,missing_count,missing_percentage,is_numeric,inf_count,zero_percentage,skewness,constant,near_constant
int64,53805,0,0.0,True,0,0.0599135986559005,2.07205224863336,False,False
int64,1050899,0,0.0,True,0,0.1012808298033414,2.1553558927330223,False,False
int64,1432,0,0.0,True,0,0.0,244.3805530050506,False,False
int64,1747,0,0.0,True,0,16.021200087750813,244.6795073937269,False,False
int64,17928,0,0.0,True,0,15.86756551195216,805.5705391050949,False,False
int64,64698,0,0.0,True,0,25.002128416461684,244.3308931867824,False,False
int64,5279,0,0.0,True,0,15.86756551195216,9.849179260121089,False,False
int64,384,0,0.0,True,0,46.53287140513992,20.139171867116847,False,False
float64,99716,0,0.0,True,0,15.86756551195216,9.135766045183043,False,False
float64,253909,0,0.0,True,0,65.37802972576458,10.531080437178678,False,False
int64,4838,0,0.0,True,0,25.002128416461684,2.938355357135772,False,False
int64,583,0,0.0,True,0,50.79468535292677,4.838118662589023,False,False
float64,147614,0,0.0,True,0,25.002128416461684,2.5192831324163936,False,False
float64,248869,0,0.0,True,0,71.58947315245503,3.4144922581019044,False,False
float64,1593909,1358,0.0479732706218826,True,1509,12.567972436918506,,False,False
float64,1240164,0,0.0,True,2867,0.0,,False,False
float64,1166311,0,0.0,True,0,0.1012808298033414,8.969788935498316,False,False
float64,1056642,0,0.0,True,0,35.26727788428692,3.611055719686751,False,False
int64,580289,0,0.0,True,0,0.1012455033890395,2.901926146201272,False,False
int64,136316,0,0.0,True,0,2.6731144438050367,23.78815089794453,False,False
int64,493098,0,0.0,True,0,25.149298258443103,2.176930402671108,False,False
float64,737737,0,0.0,True,0,25.149298258443103,7.06635407480428,False,False
float64,700313,0,0.0,True,0,62.74674175649291,3.4109794197335908,False,False
int64,437316,0,0.0,True,0,25.149298258443103,2.909589967338421,False,False
int64,110631,0,0.0,True,0,26.277835889729307,9.712721428309491,False,False
int64,414928,0,0.0,True,0,44.14031934372001,2.884194495313071,False,False
float64,670824,0,0.0,True,0,44.14031934372001,8.250627022865293,False,False
float64,709042,0,0.0,True,0,71.33208489785191,5.7929267965887465,False,False
int64,368285,0,0.0,True,0,44.14031934372001,4.435718199889343,False,False
int64,66074,0,0.0,True,0,44.50471130724336,9.923703379059642,False,False
int64,2,0,0.0,True,0,95.35535370042425,4.310324030433898,False,False
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,2,0,0.0,True,0,99.98887217949492,94.78130272482832,False,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,3771,0,0.0,True,0,0.0621038363426139,-1325.073809383881,False,False
int64,3945,0,0.0,True,0,16.025863174438655,-717.0313039453313,False,False
float64,1220423,0,0.0,True,0,0.1053433674480516,5.684943793528891,False,False
float64,1107886,0,0.0,True,0,16.06012979631143,21.48904450115704,False,False
int64,215,0,0.0,True,0,47.47898343297148,10.193305602796991,False,False
int64,5708,0,0.0,True,0,12.615945707540387,2.815075536846063,False,False
float64,215826,0,0.0,True,0,12.615945707540387,2.3958664310213287,False,False
float64,412246,0,0.0,True,0,25.189994287718807,2.882675809875704,False,False
float64,405565,0,0.0,True,0,25.189994287718807,5.393806380917156,False,False
int64,2,0,0.0,True,0,96.4620242812576,5.030055112614846,False,False
int64,2,0,0.0,True,0,95.35535370042425,4.310324030433898,False,False
int64,2,0,0.0,True,0,99.97576607978894,64.21411164430033,False,True
int64,2,0,0.0,True,0,70.19294934227516,0.8829248359057895,False,False
int64,2,0,0.0,True,0,68.41557145950728,0.7923214887588971,False,False
int64,2,0,0.0,True,0,90.51768387310328,2.765991913056269,False,False
int64,2,0,0.0,True,0,99.98887217949492,94.78130272482832,False,True
int64,2,0,0.0,True,0,99.97566010054604,64.07405871962325,False,True
int64,31,0,0.0,True,0,37.02847626930456,12.004054302595748,False,False
float64,212207,0,0.0,True,0,12.615945707540387,2.490553735951981,False,False
float64,99716,0,0.0,True,0,15.86756551195216,9.135766045183043,False,False
float64,147611,0,0.0,True,0,25.002128416461684,2.5192831324163105,False,False
int64,3771,0,0.0,True,0,0.0621038363426139,-1325.073809383881,False,False
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1,0,0.0,True,0,100.0,0.0,True,True
int64,1432,0,0.0,True,0,0.0,244.3805530050506,False,False
int64,17928,0,0.0,True,0,15.86756551195216,803.5985915171941,False,False
int64,1747,0,0.0,True,0,16.021200087750813,244.6795073937269,False,False
int64,64738,0,0.0,True,0,25.002128416461684,244.3353008521819,False,False
int64,12151,0,0.0,True,0,3.5245516813077,2.5623640468574567,False,False
int64,13112,0,0.0,True,0,9.605004763766969,5.252338607484763,False,False
int64,1093,0,0.0,True,0,34.0166521651736,284.5952275363737,False,False
int64,28,0,0.0,True,0,0.06454135892944,-474.5352652609782,False,False
float64,326325,0,0.0,True,0,80.25857522212367,38.23355679253312,False,False
float64,202826,0,0.0,True,0,92.73922076288804,40.471707205801,False,False
int64,299565,0,0.0,True,0,80.25857522212367,24.351813063374102,False,False
int64,175670,0,0.0,True,0,80.25857522212367,47.68400638905294,False,False
float64,222016,0,0.0,True,0,79.95992571561601,3.065488510960229,False,False
float64,197616,0,0.0,True,0,91.901666806206,10.493403947078573,False,False
int64,149737,0,0.0,True,0,79.95992571561601,2.951288968176639,False,False
int64,223888,0,0.0,True,0,79.95992571561601,3.184530811272156,False,False
str,15,0,0.0,False,0,,,False,False
